TRAP_DATE,GENUS,SPECIES,TYPE,GENDER,RURAL NORTH WEST,RURAL NORTH EAST,RURAL SOUTH EAST,RIVER VALLEY EAST,RIVER VALLEY WEST,RESIDENTIAL NORTH,RURAL SOUTH WEST,LAGOON,GOLF COURSE,INDUSTRIAL PARK,RESIDENTIAL SOUTH,TOTAL
May 10 2011,Aedes,euedes,Banded legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,excrucians,Banded legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,fitchii,Banded legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,flavescens,Banded legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,increpitus,Banded legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,mercurator,Banded legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,nigromaculis,Banded legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,riparius,Banded legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,vexans,Banded legs,Female,,,,,,,,,,,,
May 10 2011,Culex,,,Female,,,,,,,,,,,,
May 10 2011,Culex,tarsalis,,Female,,,,,,,,,,,,
May 10 2011,Culex,territans,,Female,,,,,,,,,,,,
May 10 2011,Culiseta,,,Female,,,,,,,1,,,,,1
May 10 2011,Culiseta,alaskensis,,Female,1,,,,,,,,,,,1
May 10 2011,Culiseta,impatiens,,Female,,,,,,,,,,,,
May 10 2011,Culiseta,incidens,,Female,,,,,,,,,,,,
May 10 2011,Culiseta,inornata,,Female,,,,,,,,,,,,
May 10 2011,Culiseta,minnesotae,,Female,,,,,,,,,,,,
May 10 2011,Culiseta,morsitans,,Female,,,,,,,,,,,,
May 10 2011,Mansonia,perturbans,,Female,,,,,,,,,,,,
May 10 2011,Anopheles,earlei,,Female,,,,,,,,,,,,
May 10 2011,,,Unknown,Female,,,,,,,,,,,,
May 10 2011,,,,Male,,1,,,,,,,,,,1
May 17 2011,Aedes,,,Female,,,,,,,,,,,,
May 17 2011,Aedes,,Black legs,Female,4,1,,,,,,,,,,5
May 17 2011,Aedes,cataphylla,Black legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,cinereus,Black legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,communis,Black legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,diantaeus,Black legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,hexodontus,Black legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,impiger,Black legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,implicatus,Black legs,Female,,,,,,,2,,,,,2
May 17 2011,Aedes,intrudens,Black legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,pionips,Black legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,provocans,Black legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,pullatus,Black legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,punctor,Black legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,spencerii,Black legs,Female,,2,35,4,1,,3,4,,,,49
May 17 2011,Aedes,sticticus,Black legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,,Banded legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,campestris,Banded legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,canadensis,Banded legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,dorsalis,Banded legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,euedes,Banded legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,excrucians,Banded legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,fitchii,Banded legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,flavescens,Banded legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,increpitus,Banded legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,mercurator,Banded legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,nigromaculis,Banded legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,riparius,Banded legs,Female,,,,,,,,,,,,
May 17 2011,Aedes,vexans,Banded legs,Female,,,,,,,,,,,,
May 17 2011,Culex,,,Female,,,,,,,,,,,,
May 17 2011,Culex,tarsalis,,Female,,,,,,,,,,,,
May 17 2011,Culex,territans,,Female,,,,,,,,,,,,
May 17 2011,Culiseta,,,Female,,,,,,,,,,,,
May 17 2011,Culiseta,alaskensis,,Female,,,,,,,,,,,,
May 17 2011,Culiseta,impatiens,,Female,,,,,,,,,,,,
May 17 2011,Culiseta,incidens,,Female,,,,,,,,,,,,
May 17 2011,Culiseta,inornata,,Female,,,,,,,2,,,,,2
May 17 2011,Culiseta,minnesotae,,Female,,,,,,,,,,,,
May 17 2011,Culiseta,morsitans,,Female,,,,,,,,,,,,
May 17 2011,Mansonia,perturbans,,Female,,,,,,,,,,,,
May 17 2011,Anopheles,earlei,,Female,,,,,,,,,,,,
May 17 2011,,,,Male,9,15,54,4,10,0,14,1,,,1,108
May 24 2011,Aedes,,,Female,,,,,,,,,,,,
May 24 2011,Aedes,,Black legs,Female,6,14,,,,,,,,,,20
May 24 2011,Aedes,cataphylla,Black legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,cinereus,Black legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,communis,Black legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,diantaeus,Black legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,hexodontus,Black legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,impiger,Black legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,implicatus,Black legs,Female,,,,,,1,,,,,,1
May 24 2011,Aedes,intrudens,Black legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,pionips,Black legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,provocans,Black legs,Female,1,,,,,,,,,,,1
May 24 2011,Aedes,pullatus,Black legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,punctor,Black legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,spencerii,Black legs,Female,16,,16,,,,2,,,,,34
May 24 2011,Aedes,sticticus,Black legs,Female,,,,,,,2,,,,,2
May 24 2011,Aedes,,Banded legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,campestris,Banded legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,canadensis,Banded legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,dorsalis,Banded legs,Female,4,,,,,,,,,,,4
May 24 2011,Aedes,euedes,Banded legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,excrucians,Banded legs,Female,4,,,,,,,,,,,4
May 24 2011,Aedes,fitchii,Banded legs,Female,1,,,,,,,,,,,1
May 24 2011,Aedes,flavescens,Banded legs,Female,1,,,,,,,,,,,1
May 24 2011,Aedes,increpitus,Banded legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,mercurator,Banded legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,nigromaculis,Banded legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,riparius,Banded legs,Female,,,,,,,,,,,,
May 24 2011,Aedes,vexans,Banded legs,Female,,,,,,,,,,,,
May 24 2011,Culex,,,Female,,,,,,,,,,,,
May 24 2011,Culex,tarsalis,,Female,,,,,,,,,,,,
May 24 2011,Culex,territans,,Female,,,,,,,,,,,,
May 24 2011,Culiseta,,,Female,1,,,,,,1,,,,,2
May 24 2011,Culiseta,alaskensis,,Female,2,,,,,,1,,,,,3
May 24 2011,Culiseta,impatiens,,Female,1,,,,,,,,,,,1
May 07 2013,Culex,tarsalis,,Female,,,,,,,,,,,,0
May 24 2011,Culiseta,incidens,,Female,,,,,,,,,,,,
May 24 2011,Culiseta,inornata,,Female,27,3,2,,1,,1,,,,,34
May 24 2011,Culiseta,minnesotae,,Female,4,,,,,,3,,,,,7
May 24 2011,Culiseta,morsitans,,Female,,,,,,,,,,,,
May 24 2011,Mansonia,perturbans,,Female,,,,,,,,,,,,
May 24 2011,Anopheles,earlei,,Female,,,,,,,,,,,,
May 24 2011,,,Unknown,Female,1,,,,,,,,,,,1
May 24 2011,,,,Male,69,28,25,1,1,2,10,,,,,136
May 31 2011,Aedes,,,Female,,,1,,,,,,,,,1
May 31 2011,Aedes,,Black legs,Female,2,1,1,,1,,,,,,,5
May 31 2011,Aedes,cataphylla,Black legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,cinereus,Black legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,communis,Black legs,Female,,,,,,1,,,,,,1
May 31 2011,Aedes,diantaeus,Black legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,hexodontus,Black legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,impiger,Black legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,implicatus,Black legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,intrudens,Black legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,pionips,Black legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,provocans,Black legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,pullatus,Black legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,punctor,Black legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,spencerii,Black legs,Female,1,,1,,,1,,,,,1,4
May 31 2011,Aedes,sticticus,Black legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,,Banded legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,campestris,Banded legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,canadensis,Banded legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,dorsalis,Banded legs,Female,3,1,,,,,,,,,5,9
May 31 2011,Aedes,euedes,Banded legs,Female,2,,,,1,,2,,,,,5
May 31 2011,Aedes,excrucians,Banded legs,Female,9,1,,,,,,,,,,10
May 31 2011,Aedes,fitchii,Banded legs,Female,2,,,,,,,,,,,2
May 31 2011,Aedes,flavescens,Banded legs,Female,2,,,,,,,,,,1,3
May 31 2011,Aedes,increpitus,Banded legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,mercurator,Banded legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,nigromaculis,Banded legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,riparius,Banded legs,Female,,,,,,,,,,,,
May 31 2011,Aedes,vexans,Banded legs,Female,,,,,,,,,,,,
May 31 2011,Culex,tarsalis,,Female,,,,,,,,,,,,
May 31 2011,Culex,territans,,Female,,,,,,,,,,,,
May 31 2011,Culiseta,,,Female,1,,,,,,1,,,,,2
May 31 2011,Culiseta,alaskensis,,Female,1,,,,,,,,,,,1
May 31 2011,Culiseta,impatiens,,Female,,,,,,,,,,,,
May 31 2011,Culiseta,incidens,,Female,1,,,,,,,,,,,1
May 31 2011,Culiseta,inornata,,Female,26,3,,,1,,,,,,,30
May 31 2011,Culiseta,minnesotae,,Female,1,,,,,,,,,,,1
May 31 2011,Culiseta,morsitans,,Female,2,,,,,,,,,,2,4
May 31 2011,Mansonia,perturbans,,Female,,,,,,,,,,,,
May 31 2011,Anopheles,earlei,,Female,,,,,,,,,,,,
May 31 2011,,,Unknown,Female,,,,,,,,,,,,
May 31 2011,,,,Male,64,9,2,6,0,0,5,0,,,6,92
June 07 2011,Aedes,,,Female,1,,1,,,,,,,,,2
June 07 2011,Aedes,,Black legs,Female,5,,,1,1,1,2,,,,,10
June 07 2011,Aedes,cataphylla,Black legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,cinereus,Black legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,communis,Black legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,diantaeus,Black legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,hexodontus,Black legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,impiger,Black legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,implicatus,Black legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,intrudens,Black legs,Female,,,,,,,,,,,,
July 12 2011,Aedes,communis,Black legs,Female,,,,,,,,,,,,0
June 07 2011,Aedes,pionips,Black legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,provocans,Black legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,pullatus,Black legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,punctor,Black legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,spencerii,Black legs,Female,2,,,,1,,1,,,,1,5
June 07 2011,Aedes,sticticus,Black legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,,Banded legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,campestris,Banded legs,Female,,,4,,,,1,5,,,3,13
June 07 2011,Aedes,canadensis,Banded legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,dorsalis,Banded legs,Female,3,1,1,,,,1,14,,,3,23
June 07 2011,Aedes,euedes,Banded legs,Female,8,,,,,,,,,,,8
June 07 2011,Aedes,excrucians,Banded legs,Female,10,1,,,1,,,,,,,12
June 07 2011,Aedes,fitchii,Banded legs,Female,36,,,1,1,,1,,,,,39
June 07 2011,Aedes,flavescens,Banded legs,Female,18,,,,,,1,,,,2,21
June 07 2011,Aedes,increpitus,Banded legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,mercurator,Banded legs,Female,,,,,,,,,,,,
June 07 2011,Aedes,nigromaculis,Banded legs,Female,1,,,,,,,,,,,1
June 07 2011,Aedes,riparius,Banded legs,Female,45,2,,,,,2,,,,1,50
June 07 2011,Aedes,vexans,Banded legs,Female,,,,,,,,,,,,
June 07 2011,Culex,,,Female,,,,,,,,,,,,
June 07 2011,Culex,tarsalis,,Female,,,,,,,,,,,,
June 07 2011,Culex,territans,,Female,,,,,,,,,,,,
June 07 2011,Culiseta,,,Female,,,1,,,,,,,,,1
June 07 2011,Culiseta,alaskensis,,Female,3,,,,,,,,,,,3
June 07 2011,Culiseta,impatiens,,Female,,,,,,,,,,,,
June 07 2011,Culiseta,incidens,,Female,,,1,,,,,,,,,1
June 07 2011,Culiseta,inornata,,Female,23,2,,,,,2,,,,,27
June 07 2011,Culiseta,minnesotae,,Female,1,,,,,,,,,,,1
June 07 2011,Culiseta,morsitans,,Female,,,,,,,,,,,,
June 07 2011,Mansonia,perturbans,,Female,,,,,,,,,,,,
June 07 2011,Anopheles,earlei,,Female,,,,,,,,,,,,
June 07 2011,,,Unknown,Female,,,,,,,,,,,,
June 07 2011,,,,Male,153,9,7,10,5,3,16,2,,,0,205
June 14 2011,Aedes,,,Female,,,,,,,,,,,1,1
June 14 2011,Aedes,,Black legs,Female,1,1,1,,1,,1,,,,4,9
June 14 2011,Aedes,cataphylla,Black legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,cinereus,Black legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,communis,Black legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,diantaeus,Black legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,hexodontus,Black legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,impiger,Black legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,implicatus,Black legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,intrudens,Black legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,pionips,Black legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,provocans,Black legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,pullatus,Black legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,punctor,Black legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,spencerii,Black legs,Female,1,,,,,,,,,,,1
June 14 2011,Aedes,sticticus,Black legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,,Banded legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,campestris,Banded legs,Female,,,1,,,,3,,,,,4
June 14 2011,Aedes,canadensis,Banded legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,dorsalis,Banded legs,Female,1,,2,2,,,2,7,,,1,15
June 14 2011,Aedes,euedes,Banded legs,Female,28,,1,,1,,,,,,,30
June 14 2011,Aedes,excrucians,Banded legs,Female,3,,,,,,,,,,1,4
June 14 2011,Aedes,fitchii,Banded legs,Female,28,3,,2,9,,3,,,,15,60
June 14 2011,Aedes,flavescens,Banded legs,Female,39,3,10,8,3,1,8,,,,21,93
June 14 2011,Aedes,increpitus,Banded legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,mercurator,Banded legs,Female,,,,,,,,,,,,
July 12 2011,Aedes,diantaeus,Black legs,Female,,,,,,,,,,,,0
June 14 2011,Aedes,nigromaculis,Banded legs,Female,,,,,,,,,,,,
June 14 2011,Aedes,riparius,Banded legs,Female,5,7,,2,1,,2,,,,6,23
June 14 2011,Aedes,vexans,Banded legs,Female,,,,,,,,,,,,
June 14 2011,Culex,,,Female,,,,,,,,,,,,
June 14 2011,Culex,tarsalis,,Female,,,,,,,,,,,,
June 14 2011,Culex,territans,,Female,1,,,,,,,,,,,1
June 14 2011,Culiseta,,,Female,,,,,,,,,,,,
June 14 2011,Culiseta,alaskensis,,Female,4,,,,,,,,,,,4
June 14 2011,Culiseta,impatiens,,Female,,,,,,,,,,,,
June 14 2011,Culiseta,incidens,,Female,,,,,,,1,,,,,1
June 14 2011,Culiseta,inornata,,Female,6,1,,,1,,2,,,,,10
June 14 2011,Culiseta,minnesotae,,Female,,,,,,,,,,,,
June 14 2011,Culiseta,morsitans,,Female,3,,,,,,,,,,,3
June 14 2011,Mansonia,perturbans,,Female,,,,,,,,,,,,
June 14 2011,Anopheles,earlei,,Female,1,,,,,,,,,,,1
June 14 2011,,,Unknown,Female,2,,,,1,,,,,,,3
June 14 2011,,,,Male,103,29,48,9,26,1,18,2,,,,236
June 21 2011,Aedes,,,Female,,,14,,,,1,,,,1,16
June 21 2011,Aedes,,Black legs,Female,2,2,,1,,,2,1,,,,8
June 21 2011,Aedes,cataphylla,Black legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,cinereus,Black legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,communis,Black legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,diantaeus,Black legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,hexodontus,Black legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,impiger,Black legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,implicatus,Black legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,intrudens,Black legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,pionips,Black legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,provocans,Black legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,pullatus,Black legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,punctor,Black legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,spencerii,Black legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,sticticus,Black legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,,Banded legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,campestris,Banded legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,canadensis,Banded legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,dorsalis,Banded legs,Female,,,,,,,3,1,,,,4
June 21 2011,Aedes,euedes,Banded legs,Female,,1,,,1,1,14,,,,,17
June 21 2011,Aedes,excrucians,Banded legs,Female,5,,,,,,1,,,,,6
June 21 2011,Aedes,fitchii,Banded legs,Female,14,2,,,,,20,1,,,2,39
June 21 2011,Aedes,flavescens,Banded legs,Female,10,4,16,,1,1,32,,,,,64
June 21 2011,Aedes,increpitus,Banded legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,mercurator,Banded legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,nigromaculis,Banded legs,Female,,,,,,,,,,,,
June 21 2011,Aedes,riparius,Banded legs,Female,1,,,,1,1,3,,,,2,8
June 21 2011,Aedes,vexans,Banded legs,Female,,9,,,,,,,,,,9
June 21 2011,Culex,,,Female,,,,,,,,,,,,
June 21 2011,Culex,tarsalis,,Female,,,,,,,,,,,,
June 21 2011,Culex,territans,,Female,,,,,,,,,,,,
June 21 2011,Culiseta,,,Female,,,,,,,,,,,,
June 21 2011,Culiseta,alaskensis,,Female,,,,,,,,,,,,
June 21 2011,Culiseta,impatiens,,Female,,,,,,,,,,,,
June 21 2011,Culiseta,incidens,,Female,,,,,,,,,,,,
June 21 2011,Culiseta,inornata,,Female,5,,,,,,8,,,,,13
June 21 2011,Culiseta,minnesotae,,Female,,,,,,,,,,,,
June 21 2011,Culiseta,morsitans,,Female,1,,,,,,,,,,,1
June 21 2011,Mansonia,perturbans,,Female,,,,,,,,,,,,
June 21 2011,Anopheles,earlei,,Female,2,,,,,,,,,,,2
June 21 2011,,,Unknown,Female,,,13,,,,1,,,,,14
June 21 2011,,,,Male,64,18,12,4,2,2,25,2,,,3,132
June 28 2011,Aedes,,,Female,1,,,,,,2,,,,,3
June 28 2011,Aedes,,Black legs,Female,4,2,,1,1,,,,,,1,9
June 28 2011,Aedes,cataphylla,Black legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,cinereus,Black legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,communis,Black legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,diantaeus,Black legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,hexodontus,Black legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,impiger,Black legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,implicatus,Black legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,intrudens,Black legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,pionips,Black legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,provocans,Black legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,pullatus,Black legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,punctor,Black legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,spencerii,Black legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,sticticus,Black legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,,Banded legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,campestris,Banded legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,canadensis,Banded legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,dorsalis,Banded legs,Female,,,,,,,4,7,,,,11
June 28 2011,Aedes,euedes,Banded legs,Female,2,2,,,,,4,,,,,8
June 28 2011,Aedes,excrucians,Banded legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,fitchii,Banded legs,Female,1,3,1,,2,1,12,3,,,5,28
June 28 2011,Aedes,flavescens,Banded legs,Female,6,10,35,1,2,,48,33,,,15,150
June 28 2011,Aedes,increpitus,Banded legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,mercurator,Banded legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,nigromaculis,Banded legs,Female,,,,,,,,,,,,
June 28 2011,Aedes,riparius,Banded legs,Female,,,,,,1,5,,,,,6
June 28 2011,Aedes,vexans,Banded legs,Female,1,8,,,,2,2,,,,,13
July 12 2011,Aedes,hexodontus,Black legs,Female,,,,,,,,,,,,0
June 28 2011,Culex,,,Female,,,,,,,,,,,,
June 28 2011,Culex,tarsalis,,Female,,,,,,,,,,,,
June 28 2011,Culex,territans,,Female,1,,,,,,,,,,,1
June 28 2011,Culiseta,,,Female,,,,,,,1,,,,,1
June 28 2011,Culiseta,alaskensis,,Female,,1,,,,1,2,,,,,4
June 28 2011,Culiseta,impatiens,,Female,,,,,,,,,,,,
June 28 2011,Culiseta,incidens,,Female,,,,,,,,,,,,
June 28 2011,Culiseta,inornata,,Female,4,3,2,,3,,12,,,,3,27
June 28 2011,Culiseta,minnesotae,,Female,,,,,,,,,,,,
June 28 2011,Culiseta,morsitans,,Female,,,,,,,,,,,,
June 28 2011,Mansonia,perturbans,,Female,,,,,,,,,,,,
June 28 2011,Anopheles,earlei,,Female,2,,,,,,,,,,,2
June 28 2011,,,Unknown,Female,,,,,,,,,,,,
June 28 2011,,,,Male,30,30,7,2,2,0,15,7,,,7,100
July 05 2011,Aedes,,,Female,,,,,,,1,,,,,1
July 05 2011,Aedes,,Black legs,Female,3,,,2,1,1,1,,,,,8
July 05 2011,Aedes,cataphylla,Black legs,Female,,,,,,,,,,,,
May 21 2013,Aedes,,,Female,,,,,,,,,,,,0
July 05 2011,Aedes,cinereus,Black legs,Female,,,,,,,,,,,,
July 05 2011,Aedes,communis,Black legs,Female,,,,,,,,,,,,
July 05 2011,Aedes,diantaeus,Black legs,Female,,,,,,,,,,,,
July 05 2011,Aedes,hexodontus,Black legs,Female,,,,,,,,,,,,
July 05 2011,Aedes,impiger,Black legs,Female,,,,,,,,,,,,
July 05 2011,Aedes,implicatus,Black legs,Female,,,,,,,,,,,,
July 05 2011,Aedes,intrudens,Black legs,Female,,,,,,,,,,,,
July 05 2011,Aedes,pionips,Black legs,Female,,,,,,,,,,,,
July 05 2011,Aedes,provocans,Black legs,Female,,,,,,,,,,,,
July 05 2011,Aedes,pullatus,Black legs,Female,,,,,,,,,,,,
July 05 2011,Aedes,punctor,Black legs,Female,,,,,,,,,,,,
July 05 2011,Aedes,spencerii,Black legs,Female,,17,6,13,4,,28,11,,,99,178
July 05 2011,Aedes,sticticus,Black legs,Female,,,,,,,,,,,,
July 12 2011,Aedes,impiger,Black legs,Female,,,,,,,,,,,,0
July 05 2011,Aedes,,Banded legs,Female,,,,,,,,,,,,
July 05 2011,Aedes,campestris,Banded legs,Female,,,,,,,4,,,,,4
July 05 2011,Aedes,canadensis,Banded legs,Female,,,,,,,,,,,,
July 05 2011,Aedes,dorsalis,Banded legs,Female,1,2,,1,,,2,2,,,,8
July 05 2011,Aedes,euedes,Banded legs,Female,,1,,,1,2,4,,,,,8
July 05 2011,Aedes,excrucians,Banded legs,Female,3,,,,,,,,,,,3
July 05 2011,Aedes,fitchii,Banded legs,Female,1,,,,,,3,,,,2,6
